index	original
0	Dan wordt hij echt president van de Verenigde Staten (VS).
1	Hij won de verkiezingen in november.
2	Donald Trump is nu geen president meer.
3	Hij kan ook nog een straf krijgen.
4	Trump kan dan nooit meer president worden.
5	De Amerikaanse politiek moet daarover nog stemmen.
6	Trump heeft nog wel veel fans.
7	Die zorgden voor geweld en doden op 6 januari.
8	Zou dat op 20 januari weer gebeuren?
9	De spanning blijft groot in de VS.
10	Er is een nieuwe Belgische kaart die jouw identiteit toont.
11	De kaart is niet alleen elektronisch.
12	Ook jouw vingerafdruk staat daarop.
13	Al meer dan 53.000 Belgen hebben deze kaart.
14	Waarom een afdruk van de vinger?
15	Dat zou veiliger zijn.
16	Zo kan iemand anders de kaart moeilijk vervalsen of namaken.
17	De oude kaart blijft geldig tot die vervalt.
18	Je krijgt wel een nieuwe kaart als je de oude verliest of bij diefstal.
19	Mogelijk is er in maart 2021 een coronavaccin voor België.
20	Dat is een prik waardoor het virus je niet meer ziek maakt.
21	Dat is goed nieuws.
22	Want het aantal besmettingen steeg de laatste dagen weer.
23	Dat komt door mensen die terugkeerden van een vakantie in het buitenland.
24	En er is nog een andere oorzaak.
25	Veel Belgen zijn de regels tegen corona beu.
26	Daarom komen er ook andere regels.
27	Bewoners van een rusthuis mogen per week zeker één bezoeker ontvangen.
28	Voor een voetbalwedstrijd moet een beperkt publiek kunnen.
29	En scholieren vonden zelf een oplossing voor te drukke bussen.
30	Is er een vaccin voor België?
31	Dan zouden tot 1,5 miljoen mensen een prik kunnen krijgen.
32	Wie komt eerst aan de beurt?
33	Dat is het personeel dat in de zorg werkt.
34	Ook mensen ouder dan 65 jaar en zieke mensen ouder dan 45 jaar krijgen dan een prik.
35	Het aantal nieuwe besmettingen met corona daalt niet meer in België.
36	De voorbije week kwamen er elke dag gemiddeld 470 nieuwe besmette mensen bij.
37	Dat waren er een klein beetje meer dan de week voordien.
38	De oorzaak is niet helemaal duidelijk.
39	Wellicht raakten nog velen besmet op vakantie.
40	Maar Belgen houden zich ook steeds minder aan de regels tegen corona.
41	Ze zijn de strenge regels een beetje beu.
42	De lynx is een heel grote kat.
43	Ongeveer zo groot als een herdershond.
44	Het roofdier heeft vlekken op de vacht en een korte staart.
45	Maar een lynx valt vooral op door de pluimpjes op de oren.
46	Het dier leeft meestal alleen in een groot bos.
47	Een lynx laat zich bijna nooit zien.
48	De lynx was al 200 jaar niet meer in België.
49	Eind augustus maakte een camera in de Ardennen een foto van een lynx.
50	De camera stond in de vallei van de Semois.
51	Maar de juiste plaats blijft een geheim ...
52	De Ronde van Frankrijk is een week bezig.
53	De Belg Wout van Aert is de held.
54	Hij won al twee keer.
55	Dat is mooi na zijn val van vorig jaar in de Tour.
56	Door corona is de Tour in september in plaats van juli.
57	Maar ook nu zijn er veel besmettingen in Frankrijk.
58	Maandag moeten de renners zich laten testen.
59	De uitslagen kennen we nog niet.
60	De overheid geeft gratis kaartjes voor de trein.
61	Ze hoopt dat meer Belgen ons land per trein zullen ontdekken.
62	De kaartjes zijn een geschenk na de strenge regels tegen corona.
63	Iedereen mag een kaartje aanvragen.
64	Dat doe je op de website hello-belgium.be.
65	Je hebt tijd tot 30 september.
66	Met het kaartje kan je elke maand twee gratis ritten maken.
67	Dat kan tot 31 maart 2021.
68	Al na één dag hadden 500.000 Belgen een kaartje aangevraagd.
69	Het schip Louise Michel redde 219 vluchtelingen op de Middellandse Zee.
70	Ze waren met kleine bootjes vertrokken vanuit Afrika.
71	Ze raakten in de problemen op zee.
72	De Louise Michel is een schip van de Britse kunstenaar Banksy.
73	Niemand weet wie de kunstenaar echt is.
74	Maar hij of zij zet zich hard in voor rechten van mensen.
75	De Europese Unie helpt vluchtelingen te weinig, vindt Banksy.
76	Daarom stuurde de artiest zelf een schip de zee op.
77	Van de 219 vluchtelingen mochten er 49 aan land in Italië.
78	Het zijn vooral vrouwen en kinderen.
79	Een groter schip nam de andere vluchtelingen over.
80	Zij wachten nog altijd op hulp.
81	De Louise Michel is intussen alweer op zoek naar andere mensen in nood.
82	Zaterdag 29 augustus startte de Ronde van Frankrijk.
